confidence_threshold,iou_threshold,min_consecutive,num_sequences,num_positive_gt,num_negative_gt,tp,fp,fn,tn,precision,recall,f1,fpr,mean_ttd_seconds,median_ttd_seconds
0.25,0.5,2,2865,1433,1432,1323,345,110,1087,0.7932,0.9232,0.8533,0.2409,87.2,21.0
0.5,0.2,2,2865,1433,1432,1257,257,176,1175,0.8303,0.8772,0.8531,0.1795,113.4,21.0
0.1,0.2,3,2865,1433,1432,1338,368,95,1064,0.7843,0.9337,0.8525,0.257,103.2,30.0
0.2,0.5,2,2865,1433,1432,1335,364,98,1068,0.7858,0.9316,0.8525,0.2542,82.0,22.0
0.4,0.3,3,2865,1433,1432,1228,220,205,1212,0.8481,0.8569,0.8525,0.1536,149.6,32.0
0.3,0.1,5,2865,1433,1432,1176,153,257,1279,0.8849,0.8207,0.8516,0.1068,222.2,90.0
0.1,0.1,4,2865,1433,1432,1283,300,150,1132,0.8105,0.8953,0.8508,0.2095,149.9,52.0
0.5,0.3,2,2865,1433,1432,1248,254,185,1178,0.8309,0.8709,0.8504,0.1774,116.5,21.0
0.5,0.4,2,2865,1433,1432,1239,246,194,1186,0.8343,0.8646,0.8492,0.1718,123.1,23.0
0.2,0.2,5,2865,1433,1432,1190,181,243,1251,0.868,0.8304,0.8488,0.1264,204.6,90.0
0.1,0.2,4,2865,1433,1432,1271,292,162,1140,0.8132,0.887,0.8485,0.2039,150.7,54.0
0.4,0.4,3,2865,1433,1432,1214,215,219,1217,0.8495,0.8472,0.8484,0.1501,159.1,37.0
0.25,0.2,5,2865,1433,1432,1177,167,256,1265,0.8757,0.8214,0.8477,0.1166,208.7,90.0
0.1,0.3,3,2865,1433,1432,1321,365,112,1067,0.7835,0.9218,0.8471,0.2549,110.1,30.0
0.4,0.1,4,2865,1433,1432,1172,164,261,1268,0.8772,0.8179,0.8465,0.1145,178.7,55.0
0.1,0.4,3,2865,1433,1432,1308,352,125,1080,0.788,0.9128,0.8458,0.2458,122.2,36.0
0.1,0.1,2,2865,1433,1432,1391,468,42,964,0.7483,0.9707,0.8451,0.3268,58.3,16.0
0.3,0.1,1,2865,1433,1432,1408,491,25,941,0.7414,0.9826,0.8451,0.3429,22.9,0.0
0.3,0.2,1,2865,1433,1432,1408,491,25,941,0.7414,0.9826,0.8451,0.3429,22.9,0.0
0.3,0.3,1,2865,1433,1432,1408,491,25,941,0.7414,0.9826,0.8451,0.3429,22.9,0.0
0.3,0.4,1,2865,1433,1432,1408,491,25,941,0.7414,0.9826,0.8451,0.3429,22.9,0.0
0.3,0.5,1,2865,1433,1432,1408,491,25,941,0.7414,0.9826,0.8451,0.3429,22.9,0.0
0.1,0.2,2,2865,1433,1432,1389,466,44,966,0.7488,0.9693,0.8449,0.3254,60.7,16.0
0.25,0.4,4,2865,1433,1432,1190,194,243,1238,0.8598,0.8304,0.8449,0.1355,181.3,68.0
0.25,0.5,3,2865,1433,1432,1230,249,203,1183,0.8316,0.8583,0.8448,0.1739,154.7,50.0
0.3,0.2,5,2865,1433,1432,1158,151,275,1281,0.8846,0.8081,0.8446,0.1054,217.4,90.0
0.1,0.3,2,2865,1433,1432,1385,463,48,969,0.7495,0.9665,0.8443,0.3233,65.4,17.0
0.1,0.1,5,2865,1433,1432,1222,241,211,1191,0.8353,0.8528,0.8439,0.1683,205.8,88.0
0.1,0.3,4,2865,1433,1432,1253,284,180,1148,0.8152,0.8744,0.8438,0.1983,157.0,58.0
