pixel_threshold,min_change_ratio,confidence_threshold,iou_threshold,min_consecutive,max_detection_area,max_misses,num_sequences,num_positive_gt,num_negative_gt,tp,fp,fn,tn,tp_pct,fp_pct,fn_pct,tn_pct,precision,recall,f1,fpr,mean_ttd_seconds,median_ttd_seconds
10,0.1,0.01,0.1,3,,0,2933,1467,1466,961,377,506,1089,65.51,25.72,34.49,74.28,0.7182,0.6551,0.6852,0.2572,273.9,96.0
30,0.005,0.01,0.1,2,,0,2933,1467,1466,974,408,493,1058,66.39,27.83,33.61,72.17,0.7048,0.6639,0.6837,0.2783,247.6,61.5
25,0.005,0.01,0.1,3,,0,2933,1467,1466,937,344,530,1122,63.87,23.47,36.13,76.53,0.7315,0.6387,0.682,0.2347,284.1,91.0
30,0.01,0.01,0.1,1,,0,2933,1467,1466,1093,649,374,817,74.51,44.27,25.49,55.73,0.6274,0.7451,0.6812,0.4427,172.2,30.0
19,0.05,0.01,0.1,1,,0,2933,1467,1466,1122,707,345,759,76.48,48.23,23.52,51.77,0.6134,0.7648,0.6808,0.4823,174.9,31.0
10,0.05,0.01,0.1,5,,0,2933,1467,1466,877,241,590,1225,59.78,16.44,40.22,83.56,0.7844,0.5978,0.6785,0.1644,344.4,179.0
19,0.01,0.01,0.1,4,,0,2933,1467,1466,893,273,574,1193,60.87,18.62,39.13,81.38,0.7659,0.6087,0.6783,0.1862,320.8,136.0
19,0.02,0.01,0.1,3,,0,2933,1467,1466,920,352,547,1114,62.71,24.01,37.29,75.99,0.7233,0.6271,0.6718,0.2401,280.4,95.0
19,0.005,0.01,0.1,5,,0,2933,1467,1466,848,214,619,1252,57.81,14.6,42.19,85.4,0.7985,0.5781,0.6706,0.146,353.3,179.0
15,0.1,0.01,0.1,1,,0,2933,1467,1466,1096,720,371,746,74.71,49.11,25.29,50.89,0.6035,0.7471,0.6677,0.4911,186.7,31.0
40,0.001,0.01,0.1,2,,0,2933,1467,1466,892,334,575,1132,60.8,22.78,39.2,77.22,0.7276,0.608,0.6625,0.2278,243.6,61.0
15,0.05,0.01,0.1,3,,0,2933,1467,1466,881,348,586,1118,60.05,23.74,39.95,76.26,0.7168,0.6005,0.6536,0.2374,289.4,115.0
30,0.02,0.01,0.1,1,,0,2933,1467,1466,996,587,471,879,67.89,40.04,32.11,59.96,0.6292,0.6789,0.6531,0.4004,195.8,38.0
40,0.005,0.01,0.1,1,,0,2933,1467,1466,974,543,493,923,66.39,37.04,33.61,62.96,0.6421,0.6639,0.6528,0.3704,190.1,33.0
15,0.02,0.01,0.1,5,,0,2933,1467,1466,816,220,651,1246,55.62,15.01,44.38,84.99,0.7876,0.5562,0.652,0.1501,357.2,180.0
25,0.02,0.01,0.1,2,,0,2933,1467,1466,893,393,574,1073,60.87,26.81,39.13,73.19,0.6944,0.6087,0.6487,0.2681,254.1,73.0
25,0.001,0.01,0.1,5,,0,2933,1467,1466,798,196,669,1270,54.4,13.37,45.6,86.63,0.8028,0.544,0.6485,0.1337,374.1,209.5
10,0.1,0.01,0.1,4,,0,2933,1467,1466,833,272,634,1194,56.78,18.55,43.22,81.45,0.7538,0.5678,0.6477,0.1855,345.3,181.0
30,0.01,0.01,0.1,2,,0,2933,1467,1466,872,359,595,1107,59.44,24.49,40.56,75.51,0.7084,0.5944,0.6464,0.2449,258.9,74.0
25,0.005,0.01,0.1,4,,0,2933,1467,1466,808,236,659,1230,55.08,16.1,44.92,83.9,0.7739,0.5508,0.6436,0.161,343.6,175.5
25,0.01,0.01,0.1,3,,0,2933,1467,1466,843,312,624,1154,57.46,21.28,42.54,78.72,0.7299,0.5746,0.643,0.2128,313.9,127.0
30,0.001,0.01,0.1,4,,0,2933,1467,1466,803,231,664,1235,54.74,15.76,45.26,84.24,0.7766,0.5474,0.6421,0.1576,332.6,150.0
19,0.05,0.01,0.1,2,,0,2933,1467,1466,883,409,584,1057,60.19,27.9,39.81,72.1,0.6834,0.6019,0.6401,0.279,256.6,87.0
19,0.01,0.01,0.1,5,,0,2933,1467,1466,779,202,688,1264,53.1,13.78,46.9,86.22,0.7941,0.531,0.6364,0.1378,374.7,210.0
30,0.005,0.01,0.1,3,,0,2933,1467,1466,800,272,667,1194,54.53,18.55,45.47,81.45,0.7463,0.5453,0.6302,0.1855,322.7,147.5
19,0.02,0.01,0.1,4,,0,2933,1467,1466,779,248,688,1218,53.1,16.92,46.9,83.08,0.7585,0.531,0.6247,0.1692,356.1,184.0
25,0.05,0.01,0.1,1,,0,2933,1467,1466,928,579,539,887,63.26,39.5,36.74,60.5,0.6158,0.6326,0.6241,0.395,223.4,60.0
19,0.1,0.01,0.1,1,,0,2933,1467,1466,939,604,528,862,64.01,41.2,35.99,58.8,0.6086,0.6401,0.6239,0.412,229.7,60.0
15,0.1,0.01,0.1,2,,0,2933,1467,1466,840,394,627,1072,57.26,26.88,42.74,73.12,0.6807,0.5726,0.622,0.2688,277.1,105.5
40,0.01,0.01,0.1,1,,0,2933,1467,1466,879,485,588,981,59.92,33.08,40.08,66.92,0.6444,0.5992,0.621,0.3308,222.4,51.0
15,0.05,0.01,0.1,4,,0,2933,1467,1466,750,245,717,1221,51.12,16.71,48.88,83.29,0.7538,0.5112,0.6093,0.1671,371.6,217.0
25,0.01,0.01,0.1,4,,0,2933,1467,1466,716,213,751,1253,48.81,14.53,51.19,85.47,0.7707,0.4881,0.5977,0.1453,376.4,210.0
40,0.001,0.01,0.1,3,,0,2933,1467,1466,718,223,749,1243,48.94,15.21,51.06,84.79,0.763,0.4894,0.5963,0.1521,324.1,144.5
30,0.001,0.01,0.1,5,,0,2933,1467,1466,692,166,775,1300,47.17,11.32,52.83,88.68,0.8065,0.4717,0.5953,0.1132,384.6,229.5
40,0.005,0.01,0.1,2,,0,2933,1467,1466,732,277,735,1189,49.9,18.89,50.1,81.11,0.7255,0.499,0.5913,0.1889,287.3,110.0
25,0.02,0.01,0.1,3,,0,2933,1467,1466,723,260,744,1206,49.28,17.74,50.72,82.26,0.7355,0.4928,0.5902,0.1774,333.0,154.0
25,0.005,0.01,0.1,5,,0,2933,1467,1466,685,170,782,1296,46.69,11.6,53.31,88.4,0.8012,0.4669,0.59,0.116,407.8,240.0
10,0.1,0.01,0.1,5,,0,2933,1467,1466,696,197,771,1269,47.44,13.44,52.56,86.56,0.7794,0.4744,0.5898,0.1344,394.5,270.5
19,0.05,0.01,0.1,3,,0,2933,1467,1466,719,279,748,1187,49.01,19.03,50.99,80.97,0.7204,0.4901,0.5834,0.1903,342.2,179.0
30,0.02,0.01,0.1,2,,0,2933,1467,1466,733,318,734,1148,49.97,21.69,50.03,78.31,0.6974,0.4997,0.5822,0.2169,287.1,109.0
30,0.01,0.01,0.1,3,,0,2933,1467,1466,702,244,765,1222,47.85,16.64,52.15,83.36,0.7421,0.4785,0.5818,0.1664,347.4,152.5
30,0.05,0.01,0.1,1,,0,2933,1467,1466,792,472,675,994,53.99,32.2,46.01,67.8,0.6266,0.5399,0.58,0.322,265.9,60.0
40,0.02,0.01,0.1,1,,0,2933,1467,1466,754,411,713,1055,51.4,28.04,48.6,71.96,0.6472,0.514,0.5729,0.2804,283.7,60.0
19,0.02,0.01,0.1,5,,0,2933,1467,1466,657,176,810,1290,44.79,12.01,55.21,87.99,0.7887,0.4479,0.5713,0.1201,403.3,258.0
30,0.005,0.01,0.1,4,,0,2933,1467,1466,663,191,804,1275,45.19,13.03,54.81,86.97,0.7763,0.4519,0.5713,0.1303,383.2,210.0
25,0.1,0.01,0.1,1,,0,2933,1467,1466,730,445,737,1021,49.76,30.35,50.24,69.65,0.6213,0.4976,0.5526,0.3035,295.2,60.0
15,0.1,0.01,0.1,3,,0,2933,1467,1466,655,268,812,1198,44.65,18.28,55.35,81.72,0.7096,0.4465,0.5481,0.1828,342.5,180.0
15,0.05,0.01,0.1,5,,0,2933,1467,1466,615,172,852,1294,41.92,11.73,58.08,88.27,0.7814,0.4192,0.5457,0.1173,415.0,291.0
19,0.1,0.01,0.1,2,,0,2933,1467,1466,647,306,820,1160,44.1,20.87,55.9,79.13,0.6789,0.441,0.5347,0.2087,313.0,120.0
25,0.01,0.01,0.1,5,,0,2933,1467,1466,589,150,878,1316,40.15,10.23,59.85,89.77,0.797,0.4015,0.534,0.1023,423.3,270.0
25,0.05,0.01,0.1,2,,0,2933,1467,1466,642,296,825,1170,43.76,20.19,56.24,79.81,0.6844,0.4376,0.5339,0.2019,311.6,120.0
40,0.01,0.01,0.1,2,,0,2933,1467,1466,615,238,852,1228,41.92,16.23,58.08,83.77,0.721,0.4192,0.5302,0.1623,317.6,120.0
40,0.001,0.01,0.1,4,,0,2933,1467,1466,577,147,890,1319,39.33,10.03,60.67,89.97,0.797,0.3933,0.5267,0.1003,387.6,210.0
25,0.02,0.01,0.1,4,,0,2933,1467,1466,579,174,888,1292,39.47,11.87,60.53,88.13,0.7689,0.3947,0.5216,0.1187,413.5,240.0
30,0.01,0.01,0.1,4,,0,2933,1467,1466,567,162,900,1304,38.65,11.05,61.35,88.95,0.7778,0.3865,0.5164,0.1105,403.5,240.0
19,0.05,0.01,0.1,4,,0,2933,1467,1466,572,184,895,1282,38.99,12.55,61.01,87.45,0.7566,0.3899,0.5146,0.1255,398.3,240.0
40,0.005,0.01,0.1,3,,0,2933,1467,1466,562,175,905,1291,38.31,11.94,61.69,88.06,0.7626,0.3831,0.51,0.1194,371.7,179.5
30,0.005,0.01,0.1,5,,0,2933,1467,1466,544,136,923,1330,37.08,9.28,62.92,90.72,0.8,0.3708,0.5068,0.0928,431.9,300.0
30,0.02,0.01,0.1,3,,0,2933,1467,1466,567,204,900,1262,38.65,13.92,61.35,86.08,0.7354,0.3865,0.5067,0.1392,369.3,180.0
30,0.1,0.01,0.1,1,,0,2933,1467,1466,570,343,897,1123,38.85,23.4,61.15,76.6,0.6243,0.3885,0.479,0.234,366.9,120.0
15,0.1,0.01,0.1,4,,0,2933,1467,1466,502,174,965,1292,34.22,11.87,65.78,88.13,0.7426,0.3422,0.4685,0.1187,396.6,240.0
40,0.001,0.01,0.1,5,,0,2933,1467,1466,476,113,991,1353,32.45,7.71,67.55,92.29,0.8081,0.3245,0.463,0.0771,432.9,300.0
40,0.05,0.01,0.1,1,,0,2933,1467,1466,526,303,941,1163,35.86,20.67,64.14,79.33,0.6345,0.3586,0.4582,0.2067,373.2,120.0
30,0.05,0.01,0.1,2,,0,2933,1467,1466,491,219,976,1247,33.47,14.94,66.53,85.06,0.6915,0.3347,0.4511,0.1494,381.3,150.0
25,0.02,0.01,0.1,5,,0,2933,1467,1466,458,124,1009,1342,31.22,8.46,68.78,91.54,0.7869,0.3122,0.447,0.0846,459.6,300.0
30,0.01,0.01,0.1,5,,0,2933,1467,1466,452,114,1015,1352,30.81,7.78,69.19,92.22,0.7986,0.3081,0.4447,0.0778,452.9,300.0
25,0.05,0.01,0.1,3,,0,2933,1467,1466,470,181,997,1285,32.04,12.35,67.96,87.65,0.722,0.3204,0.4438,0.1235,401.1,180.0
40,0.01,0.01,0.1,3,,0,2933,1467,1466,456,146,1011,1320,31.08,9.96,68.92,90.04,0.7575,0.3108,0.4408,0.0996,396.3,180.0
40,0.02,0.01,0.1,2,,0,2933,1467,1466,469,193,998,1273,31.97,13.17,68.03,86.83,0.7085,0.3197,0.4406,0.1317,363.8,150.0
19,0.1,0.01,0.1,3,,0,2933,1467,1466,460,180,1007,1286,31.36,12.28,68.64,87.72,0.7188,0.3136,0.4366,0.1228,420.0,181.0
40,0.005,0.01,0.1,4,,0,2933,1467,1466,442,121,1025,1345,30.13,8.25,69.87,91.75,0.7851,0.3013,0.4355,0.0825,434.5,240.0
19,0.05,0.01,0.1,5,,0,2933,1467,1466,437,126,1030,1340,29.79,8.59,70.21,91.41,0.7762,0.2979,0.4305,0.0859,458.8,300.0
30,0.02,0.01,0.1,4,,0,2933,1467,1466,428,136,1039,1330,29.18,9.28,70.82,90.72,0.7589,0.2918,0.4215,0.0928,435.7,240.0
25,0.1,0.01,0.1,2,,0,2933,1467,1466,414,191,1053,1275,28.22,13.03,71.78,86.97,0.6843,0.2822,0.3996,0.1303,402.7,179.5
15,0.1,0.01,0.1,5,,0,2933,1467,1466,392,118,1075,1348,26.72,8.05,73.28,91.95,0.7686,0.2672,0.3966,0.0805,461.7,300.0
25,0.05,0.01,0.1,4,,0,2933,1467,1466,352,118,1115,1348,23.99,8.05,76.01,91.95,0.7489,0.2399,0.3634,0.0805,462.3,262.0
40,0.005,0.01,0.1,5,,0,2933,1467,1466,344,90,1123,1376,23.45,6.14,76.55,93.86,0.7926,0.2345,0.3619,0.0614,491.2,300.0
40,0.01,0.01,0.1,4,,0,2933,1467,1466,340,97,1127,1369,23.18,6.62,76.82,93.38,0.778,0.2318,0.3571,0.0662,456.7,240.0
19,0.1,0.01,0.1,4,,0,2933,1467,1466,340,119,1127,1347,23.18,8.12,76.82,91.88,0.7407,0.2318,0.3531,0.0812,476.1,269.0
30,0.02,0.01,0.1,5,,0,2933,1467,1466,333,104,1134,1362,22.7,7.09,77.3,92.91,0.762,0.227,0.3498,0.0709,469.4,300.0
40,0.02,0.01,0.1,3,,0,2933,1467,1466,332,108,1135,1358,22.63,7.37,77.37,92.63,0.7545,0.2263,0.3482,0.0737,435.8,238.5
30,0.05,0.01,0.1,3,,0,2933,1467,1466,333,122,1134,1344,22.7,8.32,77.3,91.68,0.7319,0.227,0.3465,0.0832,436.7,240.0
40,0.1,0.01,0.1,1,,0,2933,1467,1466,339,185,1128,1281,23.11,12.62,76.89,87.38,0.6469,0.2311,0.3405,0.1262,451.2,234.0
30,0.1,0.01,0.1,2,,0,2933,1467,1466,286,128,1181,1338,19.5,8.73,80.5,91.27,0.6908,0.195,0.3041,0.0873,435.7,240.0
40,0.05,0.01,0.1,2,,0,2933,1467,1466,280,114,1187,1352,19.09,7.78,80.91,92.22,0.7107,0.1909,0.3009,0.0778,462.0,240.0
25,0.1,0.01,0.1,3,,0,2933,1467,1466,268,109,1199,1357,18.27,7.44,81.73,92.56,0.7109,0.1827,0.2907,0.0744,463.3,269.5
25,0.05,0.01,0.1,5,,0,2933,1467,1466,260,85,1207,1381,17.72,5.8,82.28,94.2,0.7536,0.1772,0.287,0.058,507.1,360.0
40,0.01,0.01,0.1,5,,0,2933,1467,1466,251,72,1216,1394,17.11,4.91,82.89,95.09,0.7771,0.1711,0.2804,0.0491,487.8,300.0
19,0.1,0.01,0.1,5,,0,2933,1467,1466,250,82,1217,1384,17.04,5.59,82.96,94.41,0.753,0.1704,0.2779,0.0559,512.1,359.0
40,0.02,0.01,0.1,4,,0,2933,1467,1466,240,71,1227,1395,16.36,4.84,83.64,95.16,0.7717,0.1636,0.27,0.0484,483.1,300.5
30,0.05,0.01,0.1,4,,0,2933,1467,1466,233,81,1234,1385,15.88,5.53,84.12,94.47,0.742,0.1588,0.2617,0.0553,474.6,300.0
25,0.1,0.01,0.1,4,,0,2933,1467,1466,182,66,1285,1400,12.41,4.5,87.59,95.5,0.7339,0.1241,0.2122,0.045,513.4,323.0
40,0.02,0.01,0.1,5,,0,2933,1467,1466,173,54,1294,1412,11.79,3.68,88.21,96.32,0.7621,0.1179,0.2043,0.0368,534.8,376.0
30,0.1,0.01,0.1,3,,0,2933,1467,1466,173,62,1294,1404,11.79,4.23,88.21,95.77,0.7362,0.1179,0.2033,0.0423,509.8,300.0
30,0.05,0.01,0.1,5,,0,2933,1467,1466,172,61,1295,1405,11.72,4.16,88.28,95.84,0.7382,0.1172,0.2024,0.0416,538.8,374.5
40,0.05,0.01,0.1,3,,0,2933,1467,1466,171,63,1296,1403,11.66,4.3,88.34,95.7,0.7308,0.1166,0.2011,0.043,514.9,303.0
25,0.1,0.01,0.1,5,,0,2933,1467,1466,136,50,1331,1416,9.27,3.41,90.73,96.59,0.7312,0.0927,0.1645,0.0341,548.3,367.5
40,0.1,0.01,0.1,2,,0,2933,1467,1466,135,58,1332,1408,9.2,3.96,90.8,96.04,0.6995,0.092,0.1627,0.0396,488.9,265.0
40,0.05,0.01,0.1,4,,0,2933,1467,1466,112,47,1355,1419,7.63,3.21,92.37,96.79,0.7044,0.0763,0.1378,0.0321,527.6,360.0
30,0.1,0.01,0.1,4,,0,2933,1467,1466,111,46,1356,1420,7.57,3.14,92.43,96.86,0.707,0.0757,0.1367,0.0314,517.2,360.0
40,0.05,0.01,0.1,5,,0,2933,1467,1466,78,34,1389,1432,5.32,2.32,94.68,97.68,0.6964,0.0532,0.0988,0.0232,528.3,419.0
30,0.1,0.01,0.1,5,,0,2933,1467,1466,77,37,1390,1429,5.25,2.52,94.75,97.48,0.6754,0.0525,0.0974,0.0252,516.4,420.0
40,0.1,0.01,0.1,3,,0,2933,1467,1466,70,22,1397,1444,4.77,1.5,95.23,98.5,0.7609,0.0477,0.0898,0.015,735.4,480.0
40,0.1,0.01,0.1,4,,0,2933,1467,1466,39,14,1428,1452,2.66,0.95,97.34,99.05,0.7358,0.0266,0.0513,0.0095,644.0,540.0
40,0.1,0.01,0.1,5,,0,2933,1467,1466,28,10,1439,1456,1.91,0.68,98.09,99.32,0.7368,0.0191,0.0372,0.0068,718.9,720.0
